EARN,EMP#,DATE,HRS,RATE,AMOUNT
REG,2797,11/20/2012,1.09,30.48,35.05
REG,2797,11/20/2012,6.51,30.8,210.98
REG,2797,11/21/2012,1.09,30.48,35.05
REG,2797,11/21/2012,6.51,30.8,210.98
REG,2917,11/10/2012,4.11,30.48,127.51
REG,2917,11/10/2012,3.49,30.8,117.55
REG,2917,11/13/2012,3.11,30.48,97.03
REG,2917,11/13/2012,4.49,30.8,148.35
REG,2917,11/14/2012,3.11,30.48,97.03
REG,2917,11/14/2012,4.49,30.8,148.35
REG,2917,11/15/2012,3.11,30.48,97.03
REG,2917,11/15/2012,4.49,30.8,148.35
REG,2917,11/16/2012,3.11,30.48,97.03
REG,2917,11/16/2012,4.49,30.8,148.35
REG,2917,11/17/2012,4.11,30.48,127.51
REG,2917,11/17/2012,3.49,30.8,117.55
REG,2917,11/20/2012,3.11,30.48,97.03
REG,2917,11/20/2012,4.49,30.8,148.35
REG,2917,11/21/2012,3.11,30.48,97.03
REG,2917,11/21/2012,4.49,30.8,148.35
REG,2917,11/23/2012,5.41,30.48,173.23
REG,2917,11/23/2012,2.19,30.8,71.35
REG,2969,11/10/2012,8.00,30.48,243.84
REG,2969,11/12/2012,0.00,30.48,0
REG,2969,11/13/2012,8.00,30.8,246.4
REG,2969,11/14/2012,8.00,30.48,243.84
REG,2969,11/15/2012,8.00,30.48,243.84
REG,2969,11/16/2012,6.18,30.48,192.02
REG,2969,11/16/2012,1.42,30.8,52.36
REG,2969,11/19/2012,4.58,30.48,151.38
REG,2969,11/19/2012,3.02,30.8,93.43
REG,2969,11/20/2012,4.58,30.48,151.38
REG,2969,11/20/2012,3.02,30.8,93.43
REG,2995,11/17/2012,8.00,30.48,243.84
REG,2995,11/23/2012,8.00,30.48,243.84
REG,3055,11/10/2012,2.40,30.48,81.28
REG,3055,11/10/2012,5.20,30.8,164.27
REG,3055,11/11/2012,6.01,30.48,183.39
REG,3055,11/11/2012,1.59,30.8,61.09
REG,3055,11/12/2012,6.21,30.48,193.55
REG,3055,11/12/2012,1.39,30.8,50.82
REG,3055,11/13/2012,4.26,30.48,135.13
REG,3055,11/13/2012,3.34,30.8,109.85
REG,3055,11/16/2012,6.18,30.48,192.02
REG,3055,11/16/2012,1.42,30.8,52.36
REG,3055,11/17/2012,2.40,30.48,81.28
REG,3055,11/17/2012,5.20,30.8,164.27
REG,3055,11/18/2012,3.57,30.48,120.4
REG,3055,11/18/2012,4.03,30.8,124.74
REG,3055,11/19/2012,3.11,30.48,97.03
REG,3055,11/19/2012,4.49,30.8,148.35
REG,3055,11/20/2012,8.00,30.8,246.4
REG,3082,11/17/2012,3.15,30.48,99.06
REG,3082,11/17/2012,4.45,30.8,146.3
REG,3082,11/18/2012,6.36,30.48,201.17
REG,3082,11/18/2012,1.24,30.8,43.12
REG,3082,11/19/2012,5.50,30.48,177.8
REG,3082,11/19/2012,2.10,30.8,66.73
REG,3082,11/20/2012,5.50,30.48,177.8
REG,3082,11/20/2012,2.10,30.8,66.73
REG,3082,11/21/2012,5.50,30.48,177.8
REG,3082,11/21/2012,2.10,30.8,66.73
REG,3090,11/12/2012,6.13,30.48,189.48
REG,3090,11/12/2012,1.47,30.8,54.93
REG,3090,11/13/2012,4.01,30.48,122.43
REG,3090,11/13/2012,3.59,30.8,122.69
REG,3090,11/14/2012,4.01,30.48,122.43
REG,3090,11/14/2012,3.59,30.8,122.69
REG,3090,11/15/2012,4.01,30.48,122.43
REG,3090,11/15/2012,3.59,30.8,122.69
REG,3090,11/16/2012,4.01,30.48,122.43
REG,3090,11/16/2012,3.59,30.8,122.69
REG,3090,11/17/2012,5.34,30.48,169.67
REG,3090,11/17/2012,2.26,30.8,74.95
REG,3090,11/19/2012,2.32,30.48,77.22
REG,3090,11/19/2012,5.28,30.8,168.37
REG,3090,11/20/2012,6.15,30.48,190.5
REG,3090,11/20/2012,1.45,30.8,53.9
REG,3090,11/21/2012,8.00,30.8,246.4
REG,4466,11/12/2012,8.00,30.48,243.84
REG,4466,11/13/2012,1.26,30.48,43.69
REG,4466,11/13/2012,6.34,30.8,202.25
REG,4466,11/14/2012,1.26,30.48,43.69
REG,4466,11/14/2012,6.34,30.8,202.25
REG,4466,11/15/2012,1.26,30.48,43.69
REG,4466,11/15/2012,6.34,30.8,202.25
REG,4466,11/16/2012,1.26,30.48,43.69
REG,4466,11/16/2012,6.34,30.8,202.25
REG,4466,11/19/2012,1.26,30.48,43.69
REG,4466,11/19/2012,6.34,30.8,202.25
REG,4466,11/20/2012,1.26,30.48,43.69
