EARN,EMP#,DATE,HRS,RATE,AMOUNT,,,,,,,,,,,,
REG,2917,11/20/2012,4.49,30.8,148.35,,,,,,,,,,,,
REG,2917,11/21/2012,3.11,30.48,97.03,,,,,,,,,,,,
REG,2917,11/21/2012,4.49,30.8,148.35,,,,,,,,,,,,
REG,2917,11/22/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2917,11/23/2012,5.41,30.48,173.23,,,,,,,,,,,,
REG,2917,11/23/2012,2.19,30.8,71.35,,,,,,,,,,,,
REG,2969,11/17/2012,5.46,30.48,175.77,,,,,,,,,,,,
REG,2969,11/17/2012,2.14,30.8,68.79,,,,,,,,,,,,
REG,2969,11/18/2012,5.42,30.48,173.74,,,,,,,,,,,,
REG,2969,11/18/2012,2.18,30.8,70.84,,,,,,,,,,,,
REG,2969,11/19/2012,4.58,30.48,151.38,,,,,,,,,,,,
REG,2969,11/19/2012,3.02,30.8,93.43,,,,,,,,,,,,
REG,2969,11/20/2012,4.58,30.48,151.38,,,,,,,,,,,,
REG,2969,11/20/2012,3.02,30.8,93.43,,,,,,,,,,,,
REG,2995,11/17/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,2995,11/18/2012,4.13,30.48,128.52,,,,,,,,,,,,
REG,2995,11/18/2012,3.47,30.8,116.53,,,,,,,,,,,,
REG,2995,11/19/2012,4.18,30.48,131.06,,,,,,,,,,,,
REG,2995,11/19/2012,3.42,30.8,113.96,,,,,,,,,,,,
REG,2995,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,3055,11/17/2012,2.40,30.48,81.28,,,,,,,,,,,,
REG,3055,11/17/2012,5.20,30.8,164.27,,,,,,,,,,,,
REG,3055,11/18/2012,3.57,30.48,120.4,,,,,,,,,,,,
REG,3055,11/18/2012,4.03,30.8,124.74,,,,,,,,,,,,
REG,3055,11/19/2012,3.11,30.48,97.03,,,,,,,,,,,,
REG,3055,11/19/2012,4.49,30.8,148.35,,,,,,,,,,,,
REG,3055,11/20/2012,8.00,30.8,246.4,,,,,,,,,,,,
REG,3082,11/17/2012,3.15,30.48,99.06,,,,,,,,,,,,
REG,3082,11/17/2012,4.45,30.8,146.3,,,,,,,,,,,,
REG,3082,11/18/2012,6.36,30.48,201.17,,,,,,,,,,,,
REG,3082,11/18/2012,1.24,30.8,43.12,,,,,,,,,,,,
REG,3082,11/19/2012,5.50,30.48,177.8,,,,,,,,,,,,
REG,3082,11/19/2012,2.10,30.8,66.73,,,,,,,,,,,,
REG,3082,11/20/2012,5.50,30.48,177.8,,,,,,,,,,,,
REG,3082,11/20/2012,2.10,30.8,66.73,,,,,,,,,,,,
REG,3082,11/21/2012,5.50,30.48,177.8,,,,,,,,,,,,
REG,3082,11/21/2012,2.10,30.8,66.73,,,,,,,,,,,,
REG,3090,11/17/2012,5.34,30.48,169.67,,,,,,,,,,,,
REG,3090,11/17/2012,2.26,30.8,74.95,,,,,,,,,,,,
REG,3090,11/19/2012,2.32,30.48,77.22,,,,,,,,,,,,
REG,3090,11/19/2012,5.28,30.8,168.37,,,,,,,,,,,,
REG,3090,11/20/2012,6.15,30.48,190.5,,,,,,,,,,,,
REG,3090,11/20/2012,1.45,30.8,53.9,,,,,,,,,,,,
REG,3090,11/21/2012,8.00,30.8,246.4,,,,,,,,,,,,
REG,4466,11/19/2012,1.26,30.48,43.69,,,,,,,,,,,,
REG,4466,11/19/2012,6.34,30.8,202.25,,,,,,,,,,,,
REG,4466,11/20/2012,1.26,30.48,43.69,,,,,,,,,,,,
REG,4466,11/20/2012,6.34,30.8,202.25,,,,,,,,,,,,
REG,4466,11/21/2012,1.26,30.48,43.69,,,,,,,,,,,,
REG,4466,11/21/2012,6.34,30.8,202.25,,,,,,,,,,,,
REG,4466,11/22/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,4466,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,6556,11/18/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,6556,11/19/2012,5.31,30.48,168.15,,,,,,,,,,,,
REG,6556,11/19/2012,2.29,30.8,76.49,,,,,,,,,,,,
REG,6556,11/20/2012,5.31,30.48,168.15,,,,,,,,,,,,
REG,6556,11/20/2012,2.29,30.8,76.49,,,,,,,,,,,,
REG,6556,11/21/2012,5.31,30.48,168.15,,,,,,,,,,,,
REG,6556,11/21/2012,2.29,30.8,76.49,,,,,,,,,,,,
REG,6557,11/17/2012,4.20,30.48,132.08,,,,,,,,,,,,
REG,6557,11/17/2012,3.40,30.8,112.93,,,,,,,,,,,,
REG,6557,11/18/2012,5.28,30.48,166.62,,,,,,,,,,,,
REG,6557,11/18/2012,2.32,30.8,78.03,,,,,,,,,,,,
REG,6557,11/19/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,6557,11/20/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,6557,11/21/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,6586,11/17/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,6586,11/18/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,6586,11/19/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,6586,11/20/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,6597,11/19/2012,3.50,30.48,116.84,,,,,,,,,,,,
REG,6597,11/19/2012,4.10,30.8,128.33,,,,,,,,,,,,
REG,6597,11/20/2012,3.50,30.48,116.84,,,,,,,,,,,,
REG,6597,11/20/2012,4.10,30.8,128.33,,,,,,,,,,,,
REG,6597,11/21/2012,3.50,30.48,116.84,,,,,,,,,,,,
REG,6597,11/21/2012,4.10,30.8,128.33,,,,,,,,,,,,
REG,6597,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,6740,11/19/2012,4.35,30.48,139.7,,,,,,,,,,,,
REG,6740,11/19/2012,3.25,30.8,105.23,,,,,,,,,,,,
REG,6740,11/20/2012,4.35,30.48,139.7,,,,,,,,,,,,
REG,6740,11/20/2012,3.25,30.8,105.23,,,,,,,,,,,,
REG,6740,11/21/2012,4.35,30.48,139.7,,,,,,,,,,,,
REG,6740,11/21/2012,3.25,30.8,105.23,,,,,,,,,,,,
REG,6740,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,6841,11/17/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,6841,11/20/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,6841,11/21/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,6841,11/22/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,6841,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,6872,11/19/2012,4.43,30.48,143.76,,,,,,,,,,,,
REG,6872,11/19/2012,3.17,30.48,100.08,,,,,,,,,,,,
REG,6872,11/20/2012,4.43,30.48,143.76,,,,,,,,,,,,
REG,6872,11/20/2012,3.17,30.48,100.08,,,,,,,,,,,,
REG,6872,11/21/2012,4.43,30.48,143.76,,,,,,,,,,,,
REG,6872,11/21/2012,3.17,30.48,100.08,,,,,,,,,,,,
REG,6872,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,6921,11/19/2012,6.33,30.48,199.64,,,,,,,,,,,,
REG,6921,11/19/2012,1.27,30.8,44.66,,,,,,,,,,,,
REG,6921,11/20/2012,6.33,30.48,199.64,,,,,,,,,,,,
REG,6921,11/20/2012,1.27,30.8,44.66,,,,,,,,,,,,
REG,6921,11/21/2012,6.33,30.48,199.64,,,,,,,,,,,,
REG,6921,11/21/2012,1.27,30.8,44.66,,,,,,,,,,,,
REG,6921,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,7096,11/19/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,7096,11/20/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,7096,11/21/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,7096,11/22/2012,5.15,30.48,160.02,,,,,,,,,,,,
REG,7096,11/22/2012,2.45,30.8,84.7,,,,,,,,,,,,
REG,7096,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,7125,11/18/2012,5.22,30.48,163.58,,,,,,,,,,,,
REG,7125,11/18/2012,2.38,30.8,81.11,,,,,,,,,,,,
REG,7125,11/19/2012,5.10,30.48,157.48,,,,,,,,,,,,
REG,7125,11/19/2012,2.50,30.8,87.27,,,,,,,,,,,,
REG,7125,11/20/2012,5.10,30.48,157.48,,,,,,,,,,,,
REG,7125,11/20/2012,2.50,30.8,87.27,,,,,,,,,,,,
REG,7125,11/21/2012,5.10,30.48,157.48,,,,,,,,,,,,
REG,7125,11/21/2012,2.50,30.8,87.27,,,,,,,,,,,,
REG,7165,11/17/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,7165,11/18/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,7165,11/19/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,7165,11/20/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,7165,11/21/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,7355,11/17/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,7355,11/20/2012,2.32,30.48,77.22,,,,,,,,,,,,
REG,7355,11/20/2012,5.28,30.8,168.37,,,,,,,,,,,,
REG,7355,11/21/2012,2.32,30.48,77.22,,,,,,,,,,,,
REG,7355,11/21/2012,5.28,30.8,168.37,,,,,,,,,,,,
REG,7355,11/22/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,7355,11/23/2012,5.39,30.48,172.21,,,,,,,,,,,,
REG,7355,11/23/2012,2.21,30.8,72.38,,,,,,,,,,,,
REG,7707,11/19/2012,6.19,30.48,192.53,,,,,,,,,,,,
REG,7707,11/19/2012,1.41,30.8,51.85,,,,,,,,,,,,
REG,7707,11/20/2012,6.19,30.48,192.53,,,,,,,,,,,,
REG,7707,11/20/2012,1.41,30.8,51.85,,,,,,,,,,,,
REG,7707,11/21/2012,6.19,30.48,192.53,,,,,,,,,,,,
REG,7707,11/21/2012,1.41,30.8,51.85,,,,,,,,,,,,
REG,7707,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,7728,11/19/2012,5.18,30.48,161.54,,,,,,,,,,,,
REG,7728,11/19/2012,2.42,30.8,83.16,,,,,,,,,,,,
REG,7728,11/20/2012,5.18,30.48,161.54,,,,,,,,,,,,
REG,7728,11/20/2012,2.42,30.8,83.16,,,,,,,,,,,,
REG,7728,11/21/2012,5.18,30.48,161.54,,,,,,,,,,,,
REG,7728,11/21/2012,2.42,30.8,83.16,,,,,,,,,,,,
REG,7728,11/22/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,7728,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,7769,11/17/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,7769,11/19/2012,6.18,30.48,192.02,,,,,,,,,,,,
REG,7769,11/19/2012,1.42,30.8,52.36,,,,,,,,,,,,
REG,7769,11/20/2012,6.18,30.48,192.02,,,,,,,,,,,,
REG,7769,11/20/2012,1.42,30.8,52.36,,,,,,,,,,,,
REG,7769,11/22/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,7769,11/23/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,8231,11/17/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,8231,11/18/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,8231,11/19/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,8231,11/20/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,8231,11/21/2012,8.00,30.48,243.84,,,,,,,,,,,,
REG,8440,11/17/2012,8.00,30.8,246.4,,,,,,,,,,,,
REG,8440,11/18/2012,3.59,30.48,121.41,,,,,,,,,,,,
REG,8440,11/18/2012,4.01,30.8,123.71,,,,,,,,,,,,
REG,8440,11/19/2012,5.20,30.48,162.56,,,,,,,,,,,,
REG,8440,11/19/2012,2.40,30.8,82.13,,,,,,,,,,,,
REG,8440,11/20/2012,5.20,30.48,162.56,,,,,,,,,,,,
REG,8440,11/20/2012,2.40,30.8,82.13,,,,,,,,,,,,
